location,wind,solar,battery,operational_emissions_total_g,embodied_emissions_initial_g,embodied_emissions_g,coverage_pct,total_battery_discharge_kwh,total_excess_renewable_kwh,total_grid_draw_kwh
berkeley,21000,0,0,2487465790.1797214,7329000000,162298512.3244715,27.728073130194453,0.0,9329646.207068037,10934670.480972737
berkeley,6000,12000,0,1652119992.0468416,7038000000,406122762.47686535,47.74952119572845,0.0,15582586.124443134,7905445.3498521615
berkeley,12000,16000,45000,87430512.97483833,14110000000,3902204880.724863,97.81120988231535,7198052.474612483,17891892.200872093,331161.76260260196
berkeley,18000,40000,0,1347501927.353607,22762000000,1337140447.824719,57.10777669306191,0.0,65999979.95840528,6489550.623197999
berkeley,6000,8000,7500,1362870965.9984314,5945000000,841298848.2865343,61.027800024596026,2425488.098686346,7178171.019837647,5896455.001363144
berkeley,12000,8000,0,1619319493.6190116,7484000000,332557286.1523349,49.077395176578,0.0,12930028.137677357,7704539.340427448
berkeley,6000,28000,0,1533941752.9647336,13630000000,885416761.1715405,51.16929099158008,0.0,40291178.29510769,7388037.589218015
berkeley,12000,36000,7500,1046213583.1092333,19575000000,1726321788.9567316,70.47607655452921,2459668.3417047053,53746263.653885275,4466940.182226759
berkeley,3000,28000,15000,893509771.1193048,13693000000,1972219937.0350497,77.73361862985956,4595706.041272892,34173474.72408156,3368881.3019302175
berkeley,6000,32000,0,1519424783.0406945,15278000000,1005240107.1325452,51.609779065642904,0.0,46531024.78134888,7321392.18277476
berkeley,12000,36000,0,1416954315.9270377,19020000000,1171321788.9567316,54.869082889950235,0.0,56199251.70850194,6828262.7636522055
berkeley,6000,4000,15000,1570599778.4644067,4852000000,1276474497.6550376,53.058860553255485,1957148.3988136423,2097941.7155258576,7102147.598419541
berkeley,27000,20000,0,1350151629.196673,17663000000,807087293.3299677,57.23236896586208,0.0,40203961.03048579,6470699.936540651
berkeley,24000,20000,0,1368928500.4485466,16616000000,784011201.499888,56.61034619340582,0.0,38375064.803300925,6564811.361862454
