location,wind,solar,battery,operational_emissions_total_g,embodied_emissions_initial_g,embodied_emissions_g,coverage_pct,total_battery_discharge_kwh,total_excess_renewable_kwh,total_grid_draw_kwh
houston,15000,12000,30000,162268783.00698623,12399000000,2836518251.273265,97.25464220463826,3209995.576410818,27267392.840995263,415369.8973424261
houston,3000,36000,22500,422530609.8514147,17544000000,2636659937.983097,92.89909584946145,5099952.915363123,38899770.66155721,1074359.7184420782
houston,15000,32000,30000,60939365.17999389,20639000000,3340956622.0810966,98.95406748867818,3162528.6280277986,53554346.776108205,158248.54617815086
houston,12000,40000,37500,28211982.2295415,23443000000,4035021159.0741487,99.51006132923774,3524514.4984012255,58853478.526013196,74127.2324221
houston,12000,20000,37500,64828150.3548909,15203000000,3530583787.238629,98.89073139227108,3624193.0197608187,32407891.841462858,167831.23441905543
houston,9000,12000,37500,208397446.44370604,10860000000,3266102552.899311,96.46515872156402,3978902.122242891,16938500.711928323,534817.961223978
houston,15000,28000,30000,65556551.295009166,18991000000,3240069095.2600164,98.87873012969314,3183495.809493985,48255050.16946866,169647.01348195234
houston,15000,4000,30000,789154998.6529524,9103000000,2634741313.014414,86.81167038169062,2248882.8798789238,18273084.380621564,1995381.1226100768
houston,12000,16000,15000,536916820.1223422,11890000000,1764696008.971686,91.26489207256519,2501697.2371217064,28274421.47318565,1321613.1206007432
houston,18000,12000,45000,65767887.905008,14556000000,4007049931.3288064,98.89316208118413,3209931.2731658947,32065744.0561012,167463.4736098855
houston,12000,12000,15000,596995557.207276,10242000000,1663808081.4549718,90.25037961651793,2465389.5295490352,23121383.818992812,1475107.8437413499
houston,15000,36000,37500,24185252.021339525,22842000000,3996844026.684978,99.58572422440199,3235932.0325598205,58766405.21694865,62679.51181894279
houston,12000,8000,37500,378186807.2907907,10259000000,3227919873.7935314,93.65430910090784,3218113.9712929986,17302138.99227399,960096.7064387205
houston,18000,4000,7500,1053261528.0718447,8485000000,1030272993.0699553,82.33350849339121,1236507.438099746,24016313.23561939,2672922.55162465
houston,12000,16000,37500,86153510.83293748,13555000000,3429696008.971686,98.53461798320386,3650924.6550552323,27156366.347259685,221710.83816921836
houston,18000,4000,30000,657241841.5058132,10150000000,2695272993.0699553,88.99932017762735,2290745.815718805,22977194.51538478,1664391.8895510454
houston,15000,24000,45000,25278008.370220825,18453000000,4249181620.650525,99.56919837866782,3334473.04029627,42840948.07685497,65179.855802408376
houston,15000,16000,45000,50421681.64247559,15157000000,4047406178.789979,99.13884243861747,3395946.544651739,32294236.799330685,130292.28047121609
houston,18000,0,45000,1147462328.7596383,9612000000,3704381042.1707506,80.74754844150812,2901315.503208145,18910376.79854931,2912876.7262873626
houston,27000,20000,45000,21880355.895801667,20993000000,4395697995.787921,99.64757514203117,2663154.1982956966,58150016.03225554,53321.52964642743
houston,12000,24000,45000,34663747.64348217,17406000000,4186471450.832232,99.40329087447508,3645131.562455404,37643412.770947345,90281.49577855512
houston,18000,8000,45000,184198440.42505577,12908000000,3906161723.667366,96.94729208162937,3085854.09550879,27066544.7793463,461871.66452849976
houston,15000,8000,45000,233890528.52153152,11861000000,3845630043.6118245,96.09922364622147,3224468.78026023,22158153.66053099,590183.5732894883
houston,15000,4000,45000,671617655.1272252,10213000000,3744741313.014414,88.87679989222552,2575675.5273357187,17965265.595394522,1682929.0865807733
houston,27000,24000,45000,16981414.23786355,22641000000,4496585659.381525,99.72168242289521,2632587.1351612005,63449561.0882249,42109.171935957536
houston,15000,12000,45000,83968640.89606485,13509000000,3946518251.273265,98.5905419067428,3421982.917199041,27073128.76536496,213249.60429339967
houston,18000,4000,45000,530027303.01664513,11260000000,3805272993.0699553,91.21004897340086,2640351.7565052104,22646246.523538604,1329910.8268262527
houston,15000,20000,45000,36192686.806531474,16805000000,4148293957.056922,99.38369213308229,3359802.402675433,37562713.81299163,93246.76581152457
houston,9000,0,45000,2172363597.998283,6471000000,3518433663.7412553,63.109748128632994,1954494.9000096533,6136744.286302005,5581458.328904956
houston,0,36000,45000,142189348.5985633,18162000000,4237994664.569769,97.50476010512733,8495323.677685123,32828176.99700545,377527.30836361414
houston,0,0,45000,5664765134.572821,3330000000,3330000000.0,0.28570136870963436,44999.992,0.0,15086673.968699798
houston,3000,0,45000,3891132284.3501315,4377000000,3393665273.413328,33.04337903905955,779698.2937041902,323860.91732335876,10130469.996271262
houston,0,28000,45000,197833986.90764636,14866000000,4036219733.1448073,96.47554043218467,8504115.211268295,22363159.29800481,533247.2187575412
houston,9000,36000,45000,21613896.99571965,21303000000,4426428328.311024,99.61813529896834,4046768.079496098,48301211.88230842,57775.74855058685
houston,30000,24000,45000,16472514.237128122,23688000000,4557025327.701428,99.73167757495932,2525176.752867703,68487526.09987514,40596.915393729476
